,time_s,speed_mph,speed_mph_capped,speed_ms,incremental_distance,cumulative_distance,acceleration_mss,power_W,incremental_energy_J,cumulative_energy_J
188,188,18.1,18.1,8.091424000000002,8.091424000000002,1225.336640000001,0.4023360000000018,8257.223436338973,8257.223436338973,799480.1354541356
189,189,18.6,18.6,8.314944,8.314944,1233.6515840000009,0.22351999999999883,6403.09203528593,6403.09203528593,805883.2274894215
190,190,20.0,20.0,8.940800000000001,8.940800000000001,1242.592384000001,0.6258560000000006,12060.725624996123,12060.725624996123,817943.9531144176
191,191,22.2,22.2,9.924288,9.924288,1252.5166720000009,0.9834879999999995,18566.08453402066,18566.08453402066,836510.0376484382
192,192,24.5,24.5,10.95248,10.95248,1263.4691520000008,1.0281919999999989,21373.92472031114,21373.92472031114,857883.9623687494
193,193,27.3,25.0,11.176,11.176,1274.6451520000007,0.2235200000000006,9111.329970037585,9111.329970037585,866995.292338787
194,194,30.5,25.0,11.176,11.176,1285.8211520000007,0.0,5571.443485953734,5571.443485953734,872566.7358247407
195,195,33.5,25.0,11.176,11.176,1296.9971520000006,0.0,5571.443485953734,5571.443485953734,878138.1793106945
196,196,36.2,25.0,11.176,11.176,1308.1731520000005,0.0,5571.443485953734,5571.443485953734,883709.6227966482
197,197,37.3,25.0,11.176,11.176,1319.3491520000005,0.0,5571.443485953734,5571.443485953734,889281.0662826019
198,198,39.3,25.0,11.176,11.176,1330.5251520000004,0.0,5571.443485953734,5571.443485953734,894852.5097685556
199,199,40.5,25.0,11.176,11.176,1341.7011520000003,0.0,5571.443485953734,5571.443485953734,900423.9532545094
200,200,42.1,25.0,11.176,11.176,1352.8771520000003,0.0,5571.443485953734,5571.443485953734,905995.3967404631
201,201,43.5,25.0,11.176,11.176,1364.0531520000002,0.0,5571.443485953734,5571.443485953734,911566.8402264168
202,202,45.1,25.0,11.176,11.176,1375.229152,0.0,5571.443485953734,5571.443485953734,917138.2837123706
203,203,46.0,25.0,11.176,11.176,1386.405152,0.0,5571.443485953734,5571.443485953734,922709.7271983243
204,204,46.8,25.0,11.176,11.176,1397.581152,0.0,5571.443485953734,5571.443485953734,928281.170684278
